ID,FPS,"LootType (0: Single, 1: Loop)",,
Death,18,0,,
,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT
Resources/Character/Hero/Hero_Death/Hero_Death_001.png,0,0,720,1232
Resources/Character/Hero/Hero_Death/Hero_Death_002.png,0,0,720,1232
Resources/Character/Hero/Hero_Death/Hero_Death_003.png,0,0,720,1232
Resources/Character/Hero/Hero_Death/Hero_Death_004.png,0,0,720,1232
Resources/Character/Hero/Hero_Death/Hero_Death_005.png,0,0,720,1232
Resources/Character/Hero/Hero_Death/Hero_Death_006.png,0,0,720,1232
Resources/Character/Hero/Hero_Death/Hero_Death_007.png,0,0,720,1232
Resources/Character/Hero/Hero_Death/Hero_Death_008.png,0,0,720,1232
Resources/Character/Hero/Hero_Death/Hero_Death_009.png,0,0,720,1232
Resources/Character/Hero/Hero_Death/Hero_Death_010.png,0,0,720,1232
Resources/Character/Hero/Hero_Death/Hero_Death_011.png,0,0,720,1232
Resources/Character/Hero/Hero_Death/Hero_Death_012.png,0,0,720,1232
Resources/Character/Hero/Hero_Death/Hero_Death_013.png,0,0,720,1232
Resources/Character/Hero/Hero_Death/Hero_Death_014.png,0,0,720,1232
Resources/Character/Hero/Hero_Death/Hero_Death_015.png,0,0,720,1232
Resources/Character/Hero/Hero_Death/Hero_Death_016.png,0,0,720,1232
Resources/Character/Hero/Hero_Death/Hero_Death_017.png,0,0,720,1232
Resources/Character/Hero/Hero_Death/Hero_Death_018.png,0,0,720,1232
